longName,shortName,nodeType
Hall 1 Level 2,Hall,HALL
BTM Conference Center,BTM Conference,CONF
Neuroscience Waiting Room,Neuro Waiting Room,DEPT
Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy,DEPT
MS Waiting,MS Waiting,DEPT
CART Waiting,CART Waiting,DEPT
Elevator S 01,Elevator S 1,ELEV
Elevator S 02,Elevator S 2,ELEV
Elevator S Floor 3,Elevator S 3,ELEV
Elevator S L2,Elevator S L2,ELEV
Parking Garage L2,Parking Garage L2,EXIT
Hall 1 Level 1,Hall,HALL
Hall 2 Level 2,Hall,HALL
Hall 1 Level 3,Hall,HALL
Hallway to Elevator,Hall,HALL
Hall 2 Level 1,Hall,HALL
Hall 3 Level 2,Hall,HALL
Hall 2 Level 3,Hall,HALL
Hallway Intersection,Hall,HALL
Hall 3 Level 1,Hall,HALL
Hall 4 Level 2,Hall,HALL
Hall 3 Level 3,Hall,HALL
Hall 1 Level L2,Hall,HALL
Hall 4 Level 1,Hall,HALL
Hall 5 Level 2,Hall,HALL
Hall 4 Level 3,Hall,HALL
Hall 2 Level L2,Hall,HALL
Hall 5 Level 1,Hall,HALL
Hall 6 Level 2,Hall,HALL
Hall 5 Level 3,Hall,HALL
Hall 6 Level 1,Hall,HALL
Hall 7 Level 2,Hall,HALL
HallNode,HallNode,HALL
Hall 7 Level 1,Hall,HALL
Hall 8 Level 1,Hall,HALL
Hall 9 Level 1,Hall,HALL
Hall 10 Level 1,Hall,HALL
BTM Security Desk,Security,INFO
Innovation Hub,Innovation Hub,LABS
MRI CT Scan Imaging,MRI CT Imaging,LABS
Clinical Trials,Clinical Trials,LABS
Restroom S elevator 1st floor,Restroom,REST
Restroom BTM conference center 3rd floor,Restroom,REST
Cafe,Cafe,RETL
Cafe Stairs,Cafe Staris,STAI
Stairs Floor 2,Stairs Floor 2,STAI
Duncan Reid Conference Room,Conf B0102,CONF
Hallway Intersection 38 Level 2,Hallway B3802,HALL
Oral Medicine and Dentistry,DEPT B0202,DEPT
Lee Bell Breast Center,DEPT B0302,DEPT
Jen Center for Primary Care,DEPT B0402,DEPT
Ear Nose & Throat,DEPT B0502,DEPT
Hallway Intersection 45 Level 2,Hallway B3102,HALL
Plastic Surgery,DEPT B0702,DEPT
Outpatient Pharmacy,DEPT B0802,DEPT
Weiner Center for Preoperative Evaluation,DEPT B0902,DEPT
Hallway Intersection 1 Level 2,Hallway B0102,HALL
Hallway Intersection 2 Level 2,Hallway B0202,HALL
Hallway Intersection 3 Level 2,Hallway B0302,HALL
Hallway Intersection 4 Level 2,Hallway B0402,HALL
Hallway Intersection 5 Level 2,Hallway B0502,HALL
Hallway Intersection 6 Level 2,Hallway B0602,HALL
Hallway Intersection 7 Level 2,Hallway B0702,HALL
Hallway Intersection 8 Level 2,Hallway B0802,HALL
Hallway Intersection 9 Level 2,Hallway B0902,HALL
Hallway Intersection 10 Level 2,Hallway B1002,HALL
Hallway Intersection 11 Level 2,Hallway B1102,HALL
Hallway Intersection 12 Level 2,Hallway B1202,HALL
Hallway Intersection 13 Level 2,Hallway B1302,HALL
Hallway Intersection 14 Level 2,Hallway B1402,HALL
Hallway Intersection 15 Level 2,Hallway B1502,HALL
Hallway Intersection 16 Level 2,Hallway B1602,HALL
Hallway Intersection 17 Level 2,Hallway B1702,HALL
Hallway Intersection 18 Level 2,Hallway B1802,HALL
Hallway Intersection 19 Level 2,Hallway B1902,HALL
Hallway Intersection 20 Level 2,Hallway B2002,HALL
Hallway Intersection 21 Level 2,Hallway B2102,HALL
Hallway Intersection 22 Level 2,Hallway B2202,HALL
Hallway Intersection 23 Level 2,Hallway B2302,HALL
Hallway Intersection 25 Level 2,Hallway B2502,HALL
Hallway Intersection 26 Level 2,Hallway B2602,HALL
Hallway Intersection 27 Level 2,Hallway B2702,HALL
Hallway Intersection 28 Level 2,Hallway B2802,HALL
Hallway Intersection 29 Level 2,Hallway B2902,HALL
Hallway Intersection 30 Level 2,Hallway B3002,HALL
Hallway Intersection 31 Level 2,Hallway B3102,HALL
Hallway Intersection 32 Level 2,Hallway B3202,HALL
Information Desk Level 2,INFO B0102,INFO
Valet Service Level 2,INFO B0202,INFO
Vascular Diagnostic Lab,Labs B0102,LABS
Outpatient Specimen Collection,Labs B0202,LABS
Restroom 1 Level 2,REST B0102,REST
Restroom 2 Level 2,REST B0202,REST
Restroom 3 Level 2,REST B0302,REST
Restroom 4 Level 2,REST B0402,REST
Restroom 5 Level 2,REST B0502,REST
Patient Financial Services,SERV B0102,SERV
Staircase Intersection 1 Level 2,Stair B0102,STAI
Staircase Intersection 2 Level 2,Stair B0202,STAI
Staircase Intersection 3 Level 2,Stair B0302,STAI
Staircase Intersection 5 Level 2,Stair B0502,STAI
Staircase Intersection 6 Level 2,Stair B0602,STAI
Staircase Intersection 7 Level 2,Stair B0702,STAI
Staircase Intersection 8 Level 2,Stair B0802,STAI
Staircase Intersection 9 Level 2,Stair B0902,STAI
Staircase Intersection 10 Level 2,Stair B1002,STAI
Hallway Intersection 33 Level 2,Hallway B3302,HALL
Hallway Intersection 34 Level 2,Hallway B3402,HALL
Hallway Intersection 35 Level 2,Hallway B3502,HALL
Comprehensive Breast Heath,DEPT B0102,DEPT
Hallway Intersection 36 Level 2,Hallway B3602,HALL
Hallway Intersection 37 Level 2,Hallway B3702,HALL
Hallway Intersection 41 Level 2,Hallway B04102,HALL
Hallway Intersection 42 Level 2,Hallway B04202,HALL
Hallway Intersection 43 level 2,Hallway B04302,HALL
Hallway Intersection 44 Level 2,Hallway B4402,HALL
Anesthesia Conf Floor L1,Conf C001L1,CONF
Medical Records Conference Room Floor L1,Conf C002L1,CONF
Abrams Conference Room,Conf C003L1,CONF
Day Surgery Family Waiting Floor L1,Department C002L1,DEPT
